,data,temperatura_media_dia,precipitacao_media_dia
64,2019/03/06,26.13,0.01
65,2019/03/07,25.82,0.04
66,2019/03/08,26.79,0.14
67,2019/03/09,24.13,1.23
68,2019/03/10,23.01,0.14
69,2019/03/11,23.0,0.0
70,2019/03/12,21.2,0.28
71,2019/03/13,24.21,0.38
72,2019/03/14,24.37,0.48
73,2019/03/15,24.63,0.11
74,2019/03/16,24.25,0.0
75,2019/03/17,23.66,0.01
76,2019/03/18,24.59,0.52
77,2019/03/19,24.53,0.03
78,2019/03/20,23.83,0.02
79,2019/03/21,21.22,0.0
80,2019/03/22,19.98,0.03
81,2019/03/23,21.98,0.01
82,2019/03/24,23.4,0.0
83,2019/03/25,24.25,0.0
84,2019/03/26,21.98,0.0
85,2019/03/27,21.73,0.01
86,2019/03/28,21.67,0.24
87,2019/03/29,21.56,1.6
88,2019/03/30,21.93,0.0
89,2019/03/31,21.36,0.01
90,2019/04/01,22.81,0.0
91,2019/04/02,22.62,0.01
92,2019/04/03,24.29,0.0
93,2019/04/04,24.9,0.0
94,2019/04/05,25.82,0.17
95,2019/04/06,21.98,0.16
96,2019/04/07,20.95,1.67
97,2019/04/08,20.38,0.78
98,2019/04/09,20.07,0.0
99,2019/04/10,20.42,0.0
100,2019/04/11,22.22,0.0
101,2019/04/12,22.54,0.0
102,2019/04/13,22.52,0.0
103,2019/04/14,23.87,0.01
104,2019/04/15,25.0,0.0
105,2019/04/16,22.83,0.08
106,2019/04/17,21.81,0.0
107,2019/04/18,20.95,0.01
108,2019/04/19,21.38,0.0
109,2019/04/20,23.02,0.01
110,2019/04/21,22.66,0.0
111,2019/04/22,21.36,0.33
112,2019/04/23,21.2,0.03
113,2019/04/24,21.67,0.43
114,2019/04/25,23.69,0.01
115,2019/04/26,23.65,0.0
116,2019/04/27,23.67,0.03
117,2019/04/28,21.39,1.17
118,2019/04/29,20.82,0.12
119,2019/04/30,19.79,0.0
120,2019/05/01,20.82,0.03
121,2019/05/02,21.92,0.02
122,2019/05/03,23.13,0.0
123,2019/05/04,25.51,0.0
124,2019/05/05,23.71,0.0
125,2019/05/06,24.65,0.0
126,2019/05/07,22.09,0.08
127,2019/05/08,20.58,0.0
128,2019/05/09,20.5,0.11
129,2019/05/10,21.47,0.0
130,2019/05/11,22.03,0.97
131,2019/05/12,20.6,0.07
132,2019/05/13,20.35,0.04
133,2019/05/14,20.84,0.29
134,2019/05/15,19.22,0.06
135,2019/05/16,19.86,0.39
136,2019/05/17,19.3,0.05
137,2019/05/18,19.27,0.15
138,2019/05/19,20.07,0.08
139,2019/05/20,20.88,0.0
140,2019/05/21,20.98,0.01
141,2019/05/22,20.73,0.53
142,2019/05/23,20.6,0.02
143,2019/05/24,18.88,0.62
144,2019/05/25,17.49,0.14
145,2019/05/26,16.15,0.01
146,2019/05/27,17.77,0.01
147,2019/05/28,18.16,0.57
148,2019/05/29,19.25,0.01
149,2019/05/30,19.1,2.24
150,2019/05/31,19.29,1.2
151,2019/06/01,19.97,0.08
152,2019/06/02,19.8,1.06
153,2019/06/03,19.64,0.13
154,2019/06/04,16.07,0.0
155,2019/06/05,14.94,0.01
156,2019/06/06,16.35,0.02
157,2019/06/07,18.33,0.02
158,2019/06/08,18.1,0.01
159,2019/06/09,18.84,0.0
160,2019/06/10,18.34,0.01
161,2019/06/11,18.72,0.01
162,2019/06/12,17.89,0.01
163,2019/06/13,20.32,0.0
164,2019/06/14,20.52,0.01
165,2019/06/15,21.03,0.01
166,2019/06/16,21.64,0.01
167,2019/06/17,20.8,0.0
168,2019/06/18,19.89,0.01
169,2019/06/19,20.16,0.0
170,2019/06/20,17.7,0.02
171,2019/06/21,16.15,0.0
172,2019/06/22,18.85,0.0
173,2019/06/23,17.97,0.01
174,2019/06/24,18.78,0.01
175,2019/06/25,19.35,0.01
176,2019/06/26,15.22,1.18
177,2019/06/27,14.06,0.04
178,2019/06/28,17.92,0.0
179,2019/06/29,21.47,0.0
180,2019/06/30,21.52,0.01
181,2019/07/01,17.82,0.48
182,2019/07/02,14.6,0.68
183,2019/07/03,16.11,0.0
184,2019/07/04,13.64,0.01
185,2019/07/05,11.85,0.0
186,2019/07/06,9.86,0.0
187,2019/07/07,8.48,0.0
188,2019/07/08,10.69,0.0
189,2019/07/09,12.25,0.01
190,2019/07/10,14.66,0.01
191,2019/07/11,14.99,0.01
192,2019/07/12,15.68,0.01
193,2019/07/13,18.15,0.01
194,2019/07/14,17.42,0.01
195,2019/07/15,15.68,0.6
196,2019/07/16,14.35,0.01
197,2019/07/17,11.24,0.01
198,2019/07/18,14.09,0.16
199,2019/07/19,17.08,0.01
200,2019/07/20,16.82,0.01
201,2019/07/21,17.08,0.0
202,2019/07/22,18.12,0.0
203,2019/07/23,18.68,0.01
204,2019/07/24,18.62,0.01
205,2019/07/25,18.89,0.0
206,2019/07/26,19.07,0.0
207,2019/07/27,17.78,0.84
208,2019/07/28,15.48,0.0
209,2019/07/29,17.77,0.0
210,2019/07/30,18.49,0.03
211,2019/07/31,16.45,0.01
212,2019/08/01,19.08,0.0
213,2019/08/02,15.54,0.27
214,2019/08/03,11.33,0.0
215,2019/08/04,10.42,0.0
216,2019/08/05,11.55,0.0
217,2019/08/06,16.58,0.04
218,2019/08/07,19.2,0.0
219,2019/08/08,19.86,0.0
220,2019/08/09,19.15,0.01
221,2019/08/10,21.58,0.0
222,2019/08/11,17.31,0.0
223,2019/08/12,18.94,0.0
224,2019/08/13,16.77,0.19
225,2019/08/14,12.44,0.0
226,2019/08/15,13.98,0.0
227,2019/08/16,16.63,0.0
228,2019/08/17,17.97,0.0
229,2019/08/18,18.4,0.18
230,2019/08/19,13.35,0.15
231,2019/08/20,13.42,0.0
232,2019/08/21,14.85,0.02
233,2019/08/22,14.93,0.0
234,2019/08/23,16.05,0.18
235,2019/08/24,16.13,0.0
236,2019/08/25,15.1,0.0
237,2019/08/26,16.64,0.02
238,2019/08/27,17.96,0.0
239,2019/08/28,19.03,0.01
240,2019/08/29,18.94,0.0
241,2019/08/30,19.38,0.0
242,2019/08/31,18.86,0.02
243,2019/09/01,16.5,0.39
244,2019/09/02,15.2,0.05
245,2019/09/03,16.42,0.0
246,2019/09/04,15.32,0.02
247,2019/09/05,13.4,0.0
248,2019/09/06,12.94,0.42
249,2019/09/07,16.74,0.04
250,2019/09/08,19.17,0.02
251,2019/09/09,19.39,0.0
252,2019/09/10,20.05,0.01
253,2019/09/11,19.09,0.0
254,2019/09/12,19.33,0.04
255,2019/09/13,18.78,0.03
256,2019/09/14,18.19,0.0
257,2019/09/15,19.59,0.03
258,2019/09/16,21.1,0.02
259,2019/09/17,20.54,0.01
260,2019/09/18,18.79,0.93
